84,17Networks_LH_DorsAttnB_FEF_3,0,119,17,0,6,
85,17Networks_LH_DorsAttnB_PrCv_1,0,119,18,0,6,
86,17Networks_LH_SalVentAttnA_ParOper_1,196,58,251,0,7,
87,17Networks_LH_SalVentAttnA_ParOper_2,196,58,252,0,7,
88,17Networks_LH_SalVentAttnA_ParOper_3,196,58,253,0,7,
89,17Networks_LH_SalVentAttnA_Ins_1,196,59,249,0,7,
90,17Networks_LH_SalVentAttnA_Ins_2,196,59,251,0,7,
91,17Networks_LH_SalVentAttnA_Ins_3,196,59,252,0,7,
92,17Networks_LH_SalVentAttnA_Ins_4,196,59,253,0,7,Salience/ven Attn A
93,17Networks_LH_SalVentAttnA_FrOper_1,196,59,254,0,7,
94,17Networks_LH_SalVentAttnA_FrOper_2,196,59,255,0,7,
95,17Networks_LH_SalVentAttnA_ParMed_1,193,52,249,0,7,
96,17Networks_LH_SalVentAttnA_ParMed_2,193,52,250,0,7,
97,17Networks_LH_SalVentAttnA_ParMed_3,193,52,251,0,7,
98,17Networks_LH_SalVentAttnA_FrMed_1,197,58,251,0,7,
99,17Networks_LH_SalVentAttnA_FrMed_2,197,58,252,0,7,
100,17Networks_LH_SalVentAttnA_FrMed_3,197,58,253,0,7,
101,17Networks_LH_SalVentAttnB_PFCl_1,255,153,214,0,8,
102,17Networks_LH_SalVentAttnB_PFCl_2,255,153,215,0,8,
103,17Networks_LH_SalVentAttnB_PFCl_3,255,153,216,0,8,
104,17Networks_LH_SalVentAttnB_Ins_1,255,153,217,0,8,
105,17Networks_LH_SalVentAttnB_Ins_2,255,153,218,0,8,
106,17Networks_LH_SalVentAttnB_Ins_3,255,153,219,0,8,
107,17Networks_LH_SalVentAttnB_OFC_1,255,152,213,0,8,Salience/ven Attn B
108,17Networks_LH_SalVentAttnB_PFCmp_1,255,151,214,0,8,
109,17Networks_LH_LimbicB_OFC_1,122,135,49,0,9,
110,17Networks_LH_LimbicB_OFC_2,122,135,51,0,9,
111,17Networks_LH_LimbicB_OFC_3,122,135,52,0,9,Limbic B
112,17Networks_LH_LimbicB_OFC_4,122,135,53,0,9,
113,17Networks_LH_LimbicB_OFC_5,122,135,54,0,9,
114,17Networks_LH_LimbicA_TempPole_1,220,248,162,0,10,
115,17Networks_LH_LimbicA_TempPole_2,220,248,163,0,10,
116,17Networks_LH_LimbicA_TempPole_3,220,248,165,0,10,
117,17Networks_LH_LimbicA_TempPole_4,220,248,166,0,10,
118,17Networks_LH_LimbicA_TempPole_5,220,248,167,0,10,Limbic A
119,17Networks_LH_LimbicA_TempPole_6,220,248,168,0,10,
120,17Networks_LH_LimbicA_TempPole_7,220,248,169,0,10,
121,17Networks_LH_ContA_Temp_1,230,148,35,0,11,
122,17Networks_LH_ContA_IPS_1,230,148,34,0,11,
123,17Networks_LH_ContA_IPS_2,230,148,36,0,11,
124,17Networks_LH_ContA_IPS_3,230,148,37,0,11,
125,17Networks_LH_ContA_IPS_4,230,148,38,0,11,
126,17Networks_LH_ContA_IPS_5,230,148,39,0,11,
127,17Networks_LH_ContA_PFCd_1,230,149,35,0,11,Control A
128,17Networks_LH_ContA_PFClv_1,230,149,34,0,11,
129,17Networks_LH_ContA_PFClv_2,230,149,36,0,11,
130,17Networks_LH_ContA_PFCl_1,230,149,37,0,11,
131,17Networks_LH_ContA_PFCl_2,230,149,38,0,11,
132,17Networks_LH_ContA_PFCl_3,230,149,39,0,11,
133,17Networks_LH_ContA_Cingm_1,231,148,36,0,11,
134,17Networks_LH_ContB_Temp_1,135,50,75,0,12,
135,17Networks_LH_ContB_Temp_2,135,50,76,0,12,
136,17Networks_LH_ContB_IPL_1,135,50,77,0,12,
137,17Networks_LH_ContB_IPL_2,135,50,78,0,12,
138,17Networks_LH_ContB_IPL_3,135,50,79,0,12,
139,17Networks_LH_ContB_PFCd_1,135,51,75,0,12,
140,17Networks_LH_ContB_PFClv_1,136,50,75,0,12,Control B
141,17Networks_LH_ContB_PFClv_2,136,50,76,0,12,
142,17Networks_LH_ContB_PFClv_3,136,50,77,0,12,
143,17Networks_LH_ContB_PFCmp_1,136,50,78,0,12,
144,17Networks_LH_ContC_pCun_1,119,140,177,0,13,
145,17Networks_LH_ContC_pCun_2,119,140,178,0,13,
146,17Networks_LH_ContC_pCun_3,119,140,179,0,13,Control C
147,17Networks_LH_ContC_Cingp_1,119,140,180,0,13,
148,17Networks_LH_ContC_Cingp_2,119,140,181,0,13,
149,17Networks_LH_DefaultA_IPL_1,255,255,1,0,14,
150,17Networks_LH_DefaultA_IPL_2,255,255,2,0,14,
151,17Networks_LH_DefaultA_PFCd_1,255,255,3,0,14,
152,17Networks_LH_DefaultA_PFCd_2,255,255,4,0,14,
153,17Networks_LH_DefaultA_PFCd_3,255,255,5,0,14,
154,17Networks_LH_DefaultA_pCunPCC_1,255,254,1,0,14,
155,17Networks_LH_DefaultA_pCunPCC_2,255,254,2,0,14,
156,17Networks_LH_DefaultA_pCunPCC_3,255,254,3,0,14,
157,17Networks_LH_DefaultA_pCunPCC_4,255,254,4,0,14,
158,17Networks_LH_DefaultA_pCunPCC_5,255,254,5,0,14,Default A
159,17Networks_LH_DefaultA_pCunPCC_6,255,254,6,0,14,
160,17Networks_LH_DefaultA_pCunPCC_7,255,254,7,0,14,
161,17Networks_LH_DefaultA_PFCm_1,254,255,1,0,14,
162,17Networks_LH_DefaultA_PFCm_2,254,255,2,0,14,
163,17Networks_LH_DefaultA_PFCm_3,254,255,3,0,14,
164,17Networks_LH_DefaultA_PFCm_4,254,255,4,0,14,
165,17Networks_LH_DefaultA_PFCm_5,254,255,5,0,14,
166,17Networks_LH_DefaultA_PFCm_6,254,255,6,0,14,
167,17Networks_LH_DefaultB_Temp_1,205,62,77,0,15,
168,17Networks_LH_DefaultB_Temp_2,205,62,79,0,15,
169,17Networks_LH_DefaultB_Temp_3,205,62,80,0,15,
170,17Networks_LH_DefaultB_Temp_4,205,62,81,0,15,
171,17Networks_LH_DefaultB_Temp_5,205,62,82,0,15,
172,17Networks_LH_DefaultB_Temp_6,205,62,83,0,15,
173,17Networks_LH_DefaultB_IPL_1,205,62,84,0,15,
174,17Networks_LH_DefaultB_IPL_2,205,62,85,0,15,
175,17Networks_LH_DefaultB_PFCd_1,205,63,77,0,15,
176,17Networks_LH_DefaultB_PFCd_2,205,63,79,0,15,
177,17Networks_LH_DefaultB_PFCd_3,205,63,80,0,15,Default B
178,17Networks_LH_DefaultB_PFCd_4,205,63,81,0,15,
179,17Networks_LH_DefaultB_PFCd_5,205,63,82,0,15,
180,17Networks_LH_DefaultB_PFCd_6,205,63,83,0,15,
181,17Networks_LH_DefaultB_PFCl_1,205,63,84,0,15,
182,17Networks_LH_DefaultB_PFCl_2,205,63,85,0,15,
183,17Networks_LH_DefaultB_PFCv_1,206,62,77,0,15,
184,17Networks_LH_DefaultB_PFCv_2,206,62,79,0,15,
185,17Networks_LH_DefaultB_PFCv_3,206,62,80,0,15,
186,17Networks_LH_DefaultB_PFCv_4,206,62,81,0,15,
187,17Networks_LH_DefaultB_PFCv_5,206,62,82,0,15,
188,17Networks_LH_DefaultC_IPL_1,0,0,131,0,16,
189,17Networks_LH_DefaultC_Rsp_1,0,0,132,0,16,
190,17Networks_LH_DefaultC_Rsp_2,0,0,133,0,16,
191,17Networks_LH_DefaultC_Rsp_3,0,0,134,0,16,Default C
192,17Networks_LH_DefaultC_PHC_1,0,1,131,0,16,
193,17Networks_LH_DefaultC_PHC_2,0,1,132,0,16,
194,17Networks_LH_DefaultC_PHC_3,0,1,133,0,16,
195,17Networks_LH_TempPar_1,12,48,254,0,17,
196,17Networks_LH_TempPar_2,9,41,249,0,17,
197,17Networks_LH_TempPar_3,9,41,250,0,17,Temporal/parietal
198,17Networks_LH_TempPar_4,9,41,251,0,17,
199,17Networks_LH_TempPar_5,9,41,252,0,17,
200,17Networks_LH_TempPar_6,9,41,253,0,17,
201,17Networks_RH_VisCent_ExStr_1,124,19,131,0,1,
202,17Networks_RH_VisCent_ExStr_2,124,19,132,0,1,
203,17Networks_RH_VisCent_ExStr_3,124,19,133,0,1,
204,17Networks_RH_VisCent_ExStr_4,124,19,134,0,1,
205,17Networks_RH_VisCent_ExStr_5,124,19,136,0,1,
206,17Networks_RH_VisCent_ExStr_6,124,19,137,0,1,Visual A
207,17Networks_RH_VisCent_Striate_1,124,19,138,0,1,
208,17Networks_RH_VisCent_ExStr_7,124,19,139,0,1,
209,17Networks_RH_VisCent_ExStr_8,124,19,140,0,1,
210,17Networks_RH_VisCent_ExStr_9,124,19,141,0,1,
211,17Networks_RH_VisCent_ExStr_10,124,19,142,0,1,
212,17Networks_RH_VisCent_ExStr_11,124,20,135,0,1,
213,17Networks_RH_VisPeri_ExStrInf_1,250,0,0,0,2,
214,17Networks_RH_VisPeri_ExStrInf_2,250,0,2,0,2,
215,17Networks_RH_VisPeri_ExStrInf_3,250,0,3,0,2,
216,17Networks_RH_VisPeri_ExStrInf_4,250,0,4,0,2,
217,17Networks_RH_VisPeri_ExStrInf_5,250,0,5,0,2,
218,17Networks_RH_VisPeri_StriCal_1,250,0,6,0,2,Visual B
219,17Networks_RH_VisPeri_StriCal_2,250,0,7,0,2,
220,17Networks_RH_VisPeri_ExStrSup_1,250,0,8,0,2,
221,17Networks_RH_VisPeri_ExStrSup_2,250,1,1,0,2,
222,17Networks_RH_VisPeri_ExStrSup_3,250,1,2,0,2,
223,17Networks_RH_VisPeri_ExStrSup_4,250,1,3,0,2,
224,17Networks_RH_SomMotA_1,74,130,181,0,3,
